archive_path,source_repo,folder_name,name,primary_tool,tool_type,category
bioclaw_hub/multi-omics-integration,bioclaw_hub,multi-omics-integration,multi-omics-integration,MOFA+-style,python,
bioclaw_hub/multiome-scatac,bioclaw_hub,multiome-scatac,multiome-scatac,scanpy,python,
bioclaw_hub/pathogen-epi-genomics,bioclaw_hub,pathogen-epi-genomics,pathogen-epi-genomics,phylogenetics,python,
bioclaw_hub/pathway-analysis,bioclaw_hub,pathway-analysis,pathway-analysis,Reactome,python,
bioclaw_hub/phasing-imputation,bioclaw_hub,phasing-imputation,phasing-imputation,phasing,python,
bioclaw_hub/protein-design-qc,bioclaw_hub,protein-design-qc,protein-design-qc,,,evaluation
bioclaw_hub/proteina-complexa,bioclaw_hub,proteina-complexa,proteina-complexa,,,design-tools
bioclaw_hub/read-qc,bioclaw_hub,read-qc,read-qc,fastp,python,
bioclaw_hub/reporting-and-figure-export,bioclaw_hub,reporting-and-figure-export,reporting-and-figure-export,matplotlib,python,
bioclaw_hub/ribo-seq,bioclaw_hub,ribo-seq,ribo-seq,ribo-seq,python,
bioclaw_hub/rna-quantification,bioclaw_hub,rna-quantification,rna-quantification,salmon,mixed,
bioclaw_hub/sequence-and-format-io,bioclaw_hub,sequence-and-format-io,sequence-and-format-io,biopython,python,
bioclaw_hub/small-rna-seq,bioclaw_hub,small-rna-seq,small-rna-seq,miRge3,mixed,
bioclaw_hub/spatial-transcriptomics,bioclaw_hub,spatial-transcriptomics,spatial-transcriptomics,scanpy-like,python,
bioclaw_hub/spr-bli-binding-characterization,bioclaw_hub,spr-bli-binding-characterization,spr-bli-binding-characterization,,,experimental
bioclaw_hub/systems-biology,bioclaw_hub,systems-biology,systems-biology,cobrapy,python,
bioclaw_hub/trajectory-lineage,bioclaw_hub,trajectory-lineage,trajectory-lineage,scanpy,python,
bioclaw_hub/variant-calling,bioclaw_hub,variant-calling,variant-calling,GATK-style,mixed,
bioclaw_hub/workflow-management,bioclaw_hub,workflow-management,workflow-management,Nextflow,mixed,
bioskills/abundance-estimation,bioskills,abundance-estimation,bio-metagenomics-abundance,bracken,cli,
bioskills/acmg-classification,bioskills,acmg-classification,bio-clinical-databases-acmg-classification,requests,python,
bioskills/adapter-trimming,bioskills,adapter-trimming,bio-read-qc-adapter-trimming,cutadapt,cli,
bioskills/adaptive-designs,bioskills,adaptive-designs,bio-clinical-biostatistics-adaptive-designs,rpact,r,
bioskills/admet-prediction,bioskills,admet-prediction,bio-admet-prediction,ADMETlab,python,
bioskills/ago-clip-mirna-targets,bioskills,ago-clip-mirna-targets,bio-clip-seq-ago-clip-mirna-targets,chimeric-eCLIP,mixed,
bioskills/alignment-amplicon-clipping,bioskills,alignment-amplicon-clipping,bio-alignment-amplicon-clipping,samtools,cli,
bioskills/alignment-filtering,bioskills,alignment-filtering,bio-alignment-filtering,samtools,cli,
bioskills/alignment-free-quant,bioskills,alignment-free-quant,bio-rna-quantification-alignment-free-quant,salmon,cli,
bioskills/alignment-indexing,bioskills,alignment-indexing,bio-alignment-indexing,samtools,cli,
bioskills/alignment-io,bioskills,alignment-io,bio-alignment-io,Bio.AlignIO,python,
bioskills/alignment-sorting,bioskills,alignment-sorting,bio-alignment-sorting,samtools,cli,
bioskills/alignment-trimming,bioskills,alignment-trimming,bio-alignment-trimming,ClipKIT,mixed,
bioskills/alignment-validation,bioskills,alignment-validation,bio-alignment-validation,samtools,mixed,
bioskills/allele-specific-accessibility,bioskills,allele-specific-accessibility,bio-atac-seq-allele-specific-accessibility,WASP,mixed,
bioskills/allele-specific-binding,bioskills,allele-specific-binding,bio-chipseq-allele-specific-binding,WASP,mixed,
bioskills/allele-specific-copy-number,bioskills,allele-specific-copy-number,bio-copy-number-allele-specific-copy-number,ascat,mixed,
bioskills/alphafold-predictions,bioskills,alphafold-predictions,bio-structural-biology-alphafold-predictions,requests,python,
bioskills/amplicon-processing,bioskills,amplicon-processing,bio-microbiome-amplicon-processing,dada2,r,
bioskills/amr-detection,bioskills,amr-detection,bio-metagenomics-amr-detection,AMRFinderPlus,cli,
bioskills/amr-surveillance,bioskills,amr-surveillance,bio-epidemiological-genomics-amr-surveillance,AMRFinderPlus,cli,
bioskills/ancestral-reconstruction,bioskills,ancestral-reconstruction,bio-comparative-genomics-ancestral-reconstruction,PAML,mixed,
bioskills/annotation-transfer,bioskills,annotation-transfer,bio-genome-annotation-annotation-transfer,Liftoff,cli,
bioskills/assembly-polishing,bioskills,assembly-polishing,bio-genome-assembly-assembly-polishing,Pilon,cli,
bioskills/assembly-qc,bioskills,assembly-qc,bio-genome-assembly-assembly-qc,QUAST,cli,
bioskills/association-testing,bioskills,association-testing,bio-population-genetics-association-testing,plink2,cli,
bioskills/atac-peak-calling,bioskills,atac-peak-calling,bio-atac-seq-atac-peak-calling,macs3,cli,
bioskills/atac-qc,bioskills,atac-qc,bio-atac-seq-atac-qc,deeptools,mixed,
bioskills/atacseq-pipeline,bioskills,atacseq-pipeline,bio-workflows-atacseq-pipeline,MACS3,mixed,
bioskills/atlas-mapping,bioskills,atlas-mapping,bio-machine-learning-atlas-mapping,scvi-tools,python,
bioskills/automated-qc-reports,bioskills,automated-qc-reports,bio-reporting-automated-qc-reports,multiqc,cli,
bioskills/bagel-essentiality,bioskills,bagel-essentiality,bio-crispr-screens-bagel-essentiality,BAGEL2,cli,
bioskills/bam-statistics,bioskills,bam-statistics,bio-bam-statistics,samtools,cli,
bioskills/base-editing-analysis,bioskills,base-editing-analysis,bio-crispr-screens-base-editing-analysis,CRISPResso2,mixed,
bioskills/base-editing-design,bioskills,base-editing-design,bio-genome-engineering-base-editing-design,BE-Hive,python,
bioskills/basecalling,bioskills,basecalling,bio-basecalling,dorado,cli,
bioskills/batch-correction,bioskills,batch-correction,bio-crispr-screens-batch-correction,pyComBat,mixed,
bioskills/batch-design,bioskills,batch-design,bio-experimental-design-batch-design,sva,r,
bioskills/batch-downloads,bioskills,batch-downloads,bio-batch-downloads,Bio.Entrez,python,
bioskills/batch-integration,bioskills,batch-integration,bio-single-cell-batch-integration,Harmony,mixed,
bioskills/batch-processing,bioskills,batch-processing,bio-batch-processing,Bio.SeqIO,python,
bioskills/bayesian-inference,bioskills,bayesian-inference,bio-phylo-bayesian-inference,MrBayes,mixed,
bioskills/bayesian-trials,bioskills,bayesian-trials,bio-clinical-biostatistics-bayesian-trials,RBesT,r,
bioskills/bead-normalization,bioskills,bead-normalization,bio-flow-cytometry-bead-normalization,CATALYST,r,
bioskills/bed-file-basics,bioskills,bed-file-basics,bio-genome-intervals-bed-file-basics,bedtools,mixed,
bioskills/bedgraph-handling,bioskills,bedgraph-handling,bio-bedgraph-handling,pyBigWig,mixed,
bioskills/bigwig-tracks,bioskills,bigwig-tracks,bio-genome-intervals-bigwig-tracks,pyBigWig,mixed,
bioskills/binding-site-annotation,bioskills,binding-site-annotation,bio-clip-seq-binding-site-annotation,ChIPseeker,mixed,
bioskills/biodiversity-metrics,bioskills,biodiversity-metrics,bio-ecological-genomics-biodiversity-metrics,iNEXT,r,
bioskills/biomarker-discovery,bioskills,biomarker-discovery,bio-machine-learning-biomarker-discovery,boruta,python,
bioskills/biomarker-pipeline,bioskills,biomarker-pipeline,bio-workflows-biomarker-pipeline,sklearn,python,
bioskills/biomart-queries,bioskills,biomart-queries,bio-biomart-queries,pybiomart,mixed,
bioskills/bioskills-installer,bioskills,bioskills-installer,bioskills,,,
bioskills/bioskills__database-access__ortholog-inference,bioskills,bioskills__database-access__ortholog-inference,bio-ortholog-inference,requests,python,
bioskills/bioskills__differential-expression__batch-correction,bioskills,bioskills__differential-expression__batch-correction,bio-differential-expression-batch-correction,sva,r,
bioskills/bioskills__machine-learning__survival-analysis,bioskills,bioskills__machine-learning__survival-analysis,bio-machine-learning-survival-analysis,lifelines,python,
bioskills/bioskills__proteomics__differential-abundance,bioskills,bioskills__proteomics__differential-abundance,bio-proteomics-differential-abundance,limma,mixed,
bioskills/bioskills__restriction-analysis__fragment-analysis,bioskills,bioskills__restriction-analysis__fragment-analysis,bio-restriction-fragment-analysis,Bio.Restriction,python,
bioskills/bioskills__single-cell__doublet-detection,bioskills,bioskills__single-cell__doublet-detection,bio-single-cell-doublet-detection,Scrublet,mixed,
bioskills/bismark-alignment,bioskills,bismark-alignment,bio-methylation-bismark-alignment,bismark,cli,
bioskills/blast-searches,bioskills,blast-searches,bio-blast-searches,Bio.Blast.NCBIWWW,python,
bioskills/bowtie2-alignment,bioskills,bowtie2-alignment,bio-read-alignment-bowtie2-alignment,bowtie2,cli,
bioskills/bwa-alignment,bioskills,bwa-alignment,bio-read-alignment-bwa-alignment,bwa-mem2,cli,
bioskills/categorical-tests,bioskills,categorical-tests,bio-clinical-biostatistics-categorical-tests,scipy,python,
bioskills/causal-genomics-pipeline,bioskills,causal-genomics-pipeline,bio-workflows-causal-genomics-pipeline,TwoSampleMR,r,
bioskills/cdisc-data-handling,bioskills,cdisc-data-handling,bio-clinical-biostatistics-cdisc-data,pyreadstat,python,
bioskills/cell-annotation,bioskills,cell-annotation,bio-single-cell-cell-annotation,CellTypist,mixed,
bioskills/cell-communication,bioskills,cell-communication,bio-single-cell-cell-communication,CellChat,mixed,
bioskills/cell-segmentation,bioskills,cell-segmentation,bio-imaging-mass-cytometry-cell-segmentation,cellpose,python,
bioskills/cfdna-preprocessing,bioskills,cfdna-preprocessing,bio-cfdna-preprocessing,fgbio,python,
bioskills/chip-deep-learning,bioskills,chip-deep-learning,bio-chipseq-chip-deep-learning,chrombpnet,python,
bioskills/chipseq-pipeline,bioskills,chipseq-pipeline,bio-workflows-chipseq-pipeline,MACS3,mixed,
bioskills/chipseq-qc,bioskills,chipseq-qc,bio-chipseq-qc,deepTools,mixed,
bioskills/chipseq-visualization,bioskills,chipseq-visualization,bio-chipseq-visualization,deepTools,mixed,
bioskills/chromatin-state-segmentation,bioskills,chromatin-state-segmentation,bio-chipseq-chromatin-state-segmentation,ChromHMM,cli,
bioskills/circadian-rhythms,bioskills,circadian-rhythms,bio-temporal-genomics-circadian-rhythms,CosinorPy,mixed,
bioskills/circos-plots,bioskills,circos-plots,bio-data-visualization-circos-plots,circlize,mixed,
bioskills/clair3-variants,bioskills,clair3-variants,bio-long-read-sequencing-clair3-variants,Clair3,cli,
bioskills/clinical-biostatistics__survival-analysis,bioskills,clinical-biostatistics__survival-analysis,bio-clinical-biostatistics-survival-analysis,lifelines,mixed,
bioskills/clinical-interpretation,bioskills,clinical-interpretation,bio-variant-calling-clinical-interpretation,InterVar,mixed,
bioskills/clinical-trial-pipeline,bioskills,clinical-trial-pipeline,bio-workflows-clinical-trial-pipeline,statsmodels,python,
bioskills/clinvar-lookup,bioskills,clinvar-lookup,bio-clinical-databases-clinvar-lookup,requests,python,
bioskills/clip-alignment,bioskills,clip-alignment,bio-clip-seq-clip-alignment,STAR,cli,
bioskills/clip-deep-learning,bioskills,clip-deep-learning,bio-clip-seq-clip-deep-learning,RBPNet,python,
bioskills/clip-motif-analysis,bioskills,clip-motif-analysis,bio-clip-seq-clip-motif-analysis,HOMER,mixed,
bioskills/clip-peak-calling,bioskills,clip-peak-calling,bio-clip-seq-clip-peak-calling,CLIPper,cli,
bioskills/clip-pipeline,bioskills,clip-pipeline,bio-workflows-clip-pipeline,CLIPper,mixed,
bioskills/clip-preprocessing,bioskills,clip-preprocessing,bio-clip-seq-clip-preprocessing,umi_tools,cli,
bioskills/clip-qc,bioskills,clip-qc,bio-clip-seq-clip-qc,preseq,mixed,
bioskills/clustering,bioskills,clustering,bio-single-cell-clustering,Seurat,mixed,
bioskills/clustering-phenotyping,bioskills,clustering-phenotyping,bio-flow-cytometry-clustering-phenotyping,CATALYST,r,
bioskills/cnv-annotation,bioskills,cnv-annotation,bio-copy-number-cnv-annotation,bedtools,mixed,
bioskills/cnv-pipeline,bioskills,cnv-pipeline,bio-workflows-cnv-pipeline,CNVkit,mixed,
bioskills/cnv-visualization,bioskills,cnv-visualization,bio-copy-number-cnv-visualization,matplotlib,mixed,
bioskills/cnvkit-analysis,bioskills,cnvkit-analysis,bio-copy-number-cnvkit-analysis,cnvkit,cli,
bioskills/co-accessibility,bioskills,co-accessibility,bio-atac-seq-co-accessibility,cicero,r,
bioskills/codon-usage,bioskills,codon-usage,bio-codon-usage,Bio.SeqUtils.CodonUsage,python,
bioskills/coexpression-networks,bioskills,coexpression-networks,bio-gene-regulatory-networks-coexpression-networks,WGCNA,r,
bioskills/colocalization-analysis,bioskills,colocalization-analysis,bio-causal-genomics-colocalization-analysis,coloc,r,
bioskills/color-palettes,bioskills,color-palettes,bio-data-visualization-color-palettes,viridis,mixed,
bioskills/combinatorial-screens,bioskills,combinatorial-screens,bio-crispr-screens-combinatorial-screens,enCas12a,mixed,
bioskills/community-ecology,bioskills,community-ecology,bio-ecological-genomics-community-ecology,vegan,r,
bioskills/comparative-annotation-projection,bioskills,comparative-annotation-projection,bio-comparative-genomics-comparative-annotation-projection,TOGA,cli,
bioskills/comparative-genomics__ortholog-inference,bioskills,comparative-genomics__ortholog-inference,bio-comparative-genomics-ortholog-inference,OrthoFinder,mixed,
bioskills/compartment-analysis,bioskills,compartment-analysis,bio-hi-c-analysis-compartment-analysis,cooltools,python,
bioskills/compensation-transformation,bioskills,compensation-transformation,bio-flow-cytometry-compensation-transformation,flowCore,r,
bioskills/compressed-files,bioskills,compressed-files,bio-compressed-files,Bio.bgzf,python,
bioskills/conformer-generation,bioskills,conformer-generation,bio-conformer-generation,RDKit,mixed,
bioskills/consensus-peakset,bioskills,consensus-peakset,bio-atac-seq-consensus-peakset,bedtools,mixed,
bioskills/consensus-sequences,bioskills,consensus-sequences,bio-consensus-sequences,bcftools,cli,
bioskills/conservation-genetics,bioskills,conservation-genetics,bio-ecological-genomics-conservation-genetics,hierfstat,mixed,
bioskills/contact-pairs,bioskills,contact-pairs,bio-hi-c-analysis-contact-pairs,pairtools,cli,
bioskills/contamination-detection,bioskills,contamination-detection,bio-genome-assembly-contamination-detection,CheckM2,cli,
bioskills/contamination-screening,bioskills,contamination-screening,bio-read-qc-contamination-screening,fastq_screen,cli,
bioskills/context-specific-models,bioskills,context-specific-models,bio-systems-biology-context-specific-models,cobrapy,python,
bioskills/copy-number-correction,bioskills,copy-number-correction,bio-crispr-screens-copy-number-correction,CRISPRcleanR,mixed,
bioskills/copy-ratio-segmentation,bioskills,copy-ratio-segmentation,bio-copy-number-copy-ratio-segmentation,DNAcopy,mixed,
bioskills/count-matrix-qc,bioskills,count-matrix-qc,bio-rna-quantification-count-matrix-qc,DESeq2,mixed,
bioskills/counts-ingest,bioskills,counts-ingest,bio-expression-matrix-counts-ingest,pandas,python,
bioskills/covalent-design,bioskills,covalent-design,bio-covalent-design,RDKit,python,
bioskills/coverage-analysis,bioskills,coverage-analysis,bio-genome-intervals-coverage-analysis,bedtools,mixed,
bioskills/crispr-editing-pipeline,bioskills,crispr-editing-pipeline,bio-workflows-crispr-editing-pipeline,crisprscan,mixed,
bioskills/crispr-screen-pipeline,bioskills,crispr-screen-pipeline,bio-workflows-crispr-screen-pipeline,MAGeCK,mixed,
bioskills/crispr-screens__batch-correction,bioskills,crispr-screens__batch-correction,bio-crispr-screens-batch-correction,pyComBat,mixed,
bioskills/crispresso-editing,bioskills,crispresso-editing,bio-crispr-screens-crispresso-editing,CRISPResso2,cli,
bioskills/crosslink-site-detection,bioskills,crosslink-site-detection,bio-clip-seq-crosslink-site-detection,PureCLIP,cli,
bioskills/ctdna-mutation-detection,bioskills,ctdna-mutation-detection,bio-ctdna-mutation-detection,VarDict,python,
bioskills/cut-and-run-tag,bioskills,cut-and-run-tag,bio-chipseq-cut-and-run-tag,SEACR,mixed,
