archive_path,source_repo,folder_name,name,primary_tool,tool_type,category
bioskills/epitope-prediction,bioskills,epitope-prediction,bio-immunoinformatics-epitope-prediction,BepiPred,python,
bioskills/eukaryotic-gene-prediction,bioskills,eukaryotic-gene-prediction,bio-genome-annotation-eukaryotic-gene-prediction,BRAKER3,cli,
bioskills/expression-to-pathways,bioskills,expression-to-pathways,bio-workflows-expression-to-pathways,clusterProfiler,r,
bioskills/fastp-workflow,bioskills,fastp-workflow,bio-read-qc-fastp-workflow,fastp,cli,
bioskills/fastq-quality,bioskills,fastq-quality,bio-fastq-quality,Bio.SeqIO,python,
bioskills/fastq-to-variants,bioskills,fastq-to-variants,bio-workflows-fastq-to-variants,bcftools,cli,
bioskills/fcs-handling,bioskills,fcs-handling,bio-flow-cytometry-fcs-handling,flowCore,r,
bioskills/featurecounts-counting,bioskills,featurecounts-counting,bio-rna-quantification-featurecounts-counting,featureCounts,cli,
bioskills/figure-export,bioskills,figure-export,bio-reporting-figure-export,matplotlib,mixed,
bioskills/filter-sequences,bioskills,filter-sequences,bio-filter-sequences,Bio.SeqIO,python,
bioskills/filtering-best-practices,bioskills,filtering-best-practices,bio-variant-calling-filtering-best-practices,bcftools,mixed,
bioskills/fine-mapping,bioskills,fine-mapping,bio-causal-genomics-fine-mapping,susieR,r,
bioskills/flow-and-transition-plots,bioskills,flow-and-transition-plots,bio-data-visualization-flow-and-transition-plots,ggalluvial,mixed,
bioskills/flow-cytometry__doublet-detection,bioskills,flow-cytometry__doublet-detection,bio-flow-cytometry-doublet-detection,flowCore,r,
bioskills/flux-balance-analysis,bioskills,flux-balance-analysis,bio-systems-biology-flux-balance-analysis,cobrapy,python,
bioskills/focal-amplification-ecdna,bioskills,focal-amplification-ecdna,bio-copy-number-focal-amplification-ecdna,AmpliconArchitect,cli,
bioskills/footprinting,bioskills,footprinting,bio-atac-seq-footprinting,tobias,cli,
bioskills/forest-funnel-plots,bioskills,forest-funnel-plots,bio-data-visualization-forest-funnel-plots,metafor,r,
bioskills/format-conversion,bioskills,format-conversion,bio-format-conversion,Bio.SeqIO,python,
bioskills/fragment-analysis,bioskills,fragment-analysis,bio-fragment-analysis,FinaleToolkit,python,
bioskills/free-energy-calculations,bioskills,free-energy-calculations,bio-free-energy-calculations,OpenFE,mixed,
bioskills/functional-annotation,bioskills,functional-annotation,bio-genome-annotation-functional-annotation,eggNOG-mapper,cli,
bioskills/functional-prediction,bioskills,functional-prediction,bio-microbiome-functional-prediction,picrust2,cli,
bioskills/functional-profiling,bioskills,functional-profiling,bio-metagenomics-functional-profiling,humann,cli,
bioskills/gating-analysis,bioskills,gating-analysis,bio-flow-cytometry-gating-analysis,flowWorkspace,r,
bioskills/gatk-cnv,bioskills,gatk-cnv,bio-copy-number-gatk-cnv,gatk,cli,
bioskills/gatk-variant-calling,bioskills,gatk-variant-calling,bio-gatk-variant-calling,gatk,cli,
bioskills/gene-essentiality,bioskills,gene-essentiality,bio-systems-biology-gene-essentiality,cobrapy,python,
bioskills/gene-family-evolution,bioskills,gene-family-evolution,bio-comparative-genomics-gene-family-evolution,CAFE5,cli,
bioskills/gene-id-mapping,bioskills,gene-id-mapping,bio-expression-matrix-gene-id-mapping,biomaRt,mixed,
bioskills/gene-tree-species-tree-reconciliation,bioskills,gene-tree-species-tree-reconciliation,bio-comparative-genomics-gene-tree-species-tree-reconciliation,ALE,cli,
bioskills/generative-design,bioskills,generative-design,bio-generative-design,REINVENT,python,
bioskills/genetic-correlation,bioskills,genetic-correlation,bio-causal-genomics-genetic-correlation,ldsc,mixed,
bioskills/genome-annotation-pipeline,bioskills,genome-annotation-pipeline,bio-workflows-genome-annotation-pipeline,Bakta,mixed,
bioskills/genome-assembly-pipeline,bioskills,genome-assembly-pipeline,bio-workflows-genome-assembly-pipeline,Flye,cli,
bioskills/genome-distance-and-species-delineation,bioskills,genome-distance-and-species-delineation,bio-comparative-genomics-genome-distance-and-species-delineation,skani,cli,
bioskills/genome-tracks,bioskills,genome-tracks,bio-data-visualization-genome-tracks,pyGenomeTracks,mixed,
bioskills/genomic-sem,bioskills,genomic-sem,bio-causal-genomics-genomic-sem,GenomicSEM,r,
bioskills/genotype-imputation,bioskills,genotype-imputation,bio-phasing-imputation-genotype-imputation,beagle,cli,
bioskills/geo-data,bioskills,geo-data,bio-geo-data,Bio.Entrez,mixed,
bioskills/geometric-analysis,bioskills,geometric-analysis,bio-pdb-geometric-analysis,Bio.PDB,python,
bioskills/germline-cnv-interpretation,bioskills,germline-cnv-interpretation,bio-copy-number-germline-cnv-interpretation,ClassifyCNV,mixed,
bioskills/ggplot2-fundamentals,bioskills,ggplot2-fundamentals,bio-data-visualization-ggplot2-fundamentals,ggplot2,r,
bioskills/gnomad-frequencies,bioskills,gnomad-frequencies,bio-clinical-databases-gnomad-frequencies,requests,python,
bioskills/go-enrichment,bioskills,go-enrichment,bio-pathway-go-enrichment,clusterProfiler,r,
bioskills/grn-pipeline,bioskills,grn-pipeline,bio-workflows-grn-pipeline,pySCENIC,python,
bioskills/grna-design,bioskills,grna-design,bio-genome-engineering-grna-design,crisprscan,python,
bioskills/gsea,bioskills,gsea,bio-pathway-gsea,clusterProfiler,r,
bioskills/gtf-gff-handling,bioskills,gtf-gff-handling,bio-genome-intervals-gtf-gff-handling,gffread,mixed,
bioskills/gwas-pipeline,bioskills,gwas-pipeline,bio-workflows-gwas-pipeline,PLINK2,mixed,
bioskills/haplotype-phasing,bioskills,haplotype-phasing,bio-phasing-imputation-haplotype-phasing,beagle,cli,
bioskills/hdr-template-design,bioskills,hdr-template-design,bio-genome-engineering-hdr-template-design,primer3-py,python,
bioskills/heatmaps-clustering,bioskills,heatmaps-clustering,bio-data-visualization-heatmaps-clustering,ComplexHeatmap,mixed,
bioskills/heritability-partitioning,bioskills,heritability-partitioning,bio-causal-genomics-heritability-partitioning,ldsc,mixed,
bioskills/hgt-detection,bioskills,hgt-detection,bio-comparative-genomics-hgt-detection,HGTector,mixed,
bioskills/hic-data-io,bioskills,hic-data-io,bio-hi-c-analysis-hic-data-io,cooler,mixed,
bioskills/hic-differential,bioskills,hic-differential,bio-hi-c-analysis-hic-differential,cooltools,python,
bioskills/hic-pipeline,bioskills,hic-pipeline,bio-workflows-hic-pipeline,cooler,mixed,
bioskills/hic-visualization,bioskills,hic-visualization,bio-hi-c-analysis-hic-visualization,cooltools,python,
bioskills/hifi-assembly,bioskills,hifi-assembly,bio-genome-assembly-hifi-assembly,hifiasm,cli,
bioskills/hisat2-alignment,bioskills,hisat2-alignment,bio-read-alignment-hisat2-alignment,HISAT2,cli,
bioskills/hit-calling,bioskills,hit-calling,bio-crispr-screens-hit-calling,MAGeCK,mixed,
bioskills/hla-typing,bioskills,hla-typing,bio-clinical-databases-hla-typing,T1K,cli,
bioskills/hrd-scoring,bioskills,hrd-scoring,bio-copy-number-hrd-scoring,scarHRD,mixed,
bioskills/image-analysis,bioskills,image-analysis,bio-spatial-transcriptomics-image-analysis,squidpy,python,
bioskills/imc-pipeline,bioskills,imc-pipeline,bio-workflows-imc-pipeline,steinbock,python,
bioskills/immcantation-analysis,bioskills,immcantation-analysis,bio-tcr-bcr-analysis-immcantation-analysis,alakazam,r,
bioskills/immunogenicity-scoring,bioskills,immunogenicity-scoring,bio-immunoinformatics-immunogenicity-scoring,mhcflurry,python,
bioskills/imputation-qc,bioskills,imputation-qc,bio-phasing-imputation-imputation-qc,bcftools,mixed,
bioskills/in-vivo-screens,bioskills,in-vivo-screens,bio-crispr-screens-in-vivo-screens,MAGeCK,mixed,
bioskills/interaction-databases,bioskills,interaction-databases,bio-interaction-databases,requests,python,
bioskills/interactive-annotation,bioskills,interactive-annotation,bio-imaging-mass-cytometry-interactive-annotation,napari,python,
bioskills/interactive-visualization,bioskills,interactive-visualization,bio-data-visualization-interactive-visualization,plotly,mixed,
bioskills/interval-arithmetic,bioskills,interval-arithmetic,bio-genome-intervals-interval-arithmetic,bedtools,mixed,
bioskills/introgression-detection,bioskills,introgression-detection,bio-comparative-genomics-introgression-detection,Dsuite,cli,
bioskills/isoform-switching,bioskills,isoform-switching,bio-isoform-switching,IsoformSwitchAnalyzeR,r,
bioskills/isoseq-analysis,bioskills,isoseq-analysis,bio-long-read-sequencing-isoseq-analysis,IsoSeq3,cli,
bioskills/jacks-analysis,bioskills,jacks-analysis,bio-crispr-screens-jacks-analysis,JACKS,python,
bioskills/joint-calling,bioskills,joint-calling,bio-variant-calling-joint-calling,GATK,cli,
bioskills/jupyter-reports,bioskills,jupyter-reports,bio-reporting-jupyter-reports,papermill,python,
bioskills/kegg-pathways,bioskills,kegg-pathways,bio-pathway-kegg-pathways,clusterProfiler,r,
bioskills/kraken-classification,bioskills,kraken-classification,bio-metagenomics-kraken,kraken2,cli,
bioskills/landscape-genomics,bioskills,landscape-genomics,bio-ecological-genomics-landscape-genomics,LEA,r,
bioskills/library-design,bioskills,library-design,bio-crispr-screens-library-design,CRISPOR,mixed,
bioskills/lineage-tracing,bioskills,lineage-tracing,bio-single-cell-lineage-tracing,Cassiopeia,python,
bioskills/linkage-disequilibrium,bioskills,linkage-disequilibrium,bio-population-genetics-linkage-disequilibrium,plink2,mixed,
bioskills/lipidomics,bioskills,lipidomics,bio-metabolomics-lipidomics,lipidr,mixed,
bioskills/liquid-biopsy-pipeline,bioskills,liquid-biopsy-pipeline,bio-liquid-biopsy-pipeline,ichorCNA,mixed,
bioskills/liquid-biopsy__fragment-analysis,bioskills,liquid-biopsy__fragment-analysis,bio-fragment-analysis,FinaleToolkit,python,
bioskills/local-blast,bioskills,local-blast,bio-local-blast,BLAST+,cli,
bioskills/logistic-regression,bioskills,logistic-regression,bio-clinical-biostatistics-logistic-regression,statsmodels,python,
bioskills/lollipop-protein-maps,bioskills,lollipop-protein-maps,bio-data-visualization-lollipop-protein-maps,maftools,mixed,
bioskills/long-read-alignment,bioskills,long-read-alignment,bio-longread-alignment,minimap2,cli,
bioskills/long-read-assembly,bioskills,long-read-assembly,bio-genome-assembly-long-read-assembly,Flye,cli,
bioskills/long-read-qc,bioskills,long-read-qc,bio-longread-qc,nanoplot,cli,
bioskills/long-read-splicing,bioskills,long-read-splicing,,,,
bioskills/longitudinal-monitoring,bioskills,longitudinal-monitoring,bio-longitudinal-monitoring,pandas,python,
bioskills/longread-sv-pipeline,bioskills,longread-sv-pipeline,bio-workflows-longread-sv-pipeline,Sniffles,cli,
bioskills/loop-calling,bioskills,loop-calling,bio-hi-c-analysis-loop-calling,cooltools,mixed,
bioskills/m6a-clip,bioskills,m6a-clip,bio-clip-seq-m6a-clip,miCLIP2,mixed,
bioskills/m6a-differential,bioskills,m6a-differential,bio-epitranscriptomics-m6a-differential,exomePeak2,r,
bioskills/m6a-peak-calling,bioskills,m6a-peak-calling,bio-epitranscriptomics-m6a-peak-calling,exomePeak2,mixed,
bioskills/m6anet-analysis,bioskills,m6anet-analysis,bio-epitranscriptomics-m6anet-analysis,m6Anet,python,
bioskills/machine-learning__survival-analysis,bioskills,machine-learning__survival-analysis,bio-machine-learning-survival-analysis,lifelines,python,
bioskills/mageck-analysis,bioskills,mageck-analysis,bio-crispr-screens-mageck-analysis,MAGeCK,cli,
bioskills/manhattan-qq-locuszoom,bioskills,manhattan-qq-locuszoom,bio-data-visualization-manhattan-qq-locuszoom,qqman,mixed,
bioskills/markers-annotation,bioskills,markers-annotation,bio-single-cell-markers-annotation,Seurat,mixed,
bioskills/matplotlib-fundamentals,bioskills,matplotlib-fundamentals,bio-data-visualization-matplotlib-fundamentals,matplotlib,python,
bioskills/matrix-operations,bioskills,matrix-operations,bio-hi-c-analysis-matrix-operations,cooltools,python,
bioskills/medaka-polishing,bioskills,medaka-polishing,bio-longread-medaka,medaka,cli,
bioskills/mediation-analysis,bioskills,mediation-analysis,bio-causal-genomics-mediation-analysis,mediation,mixed,
bioskills/mendelian-randomization,bioskills,mendelian-randomization,bio-causal-genomics-mendelian-randomization,TwoSampleMR,mixed,
bioskills/merip-pipeline,bioskills,merip-pipeline,bio-workflows-merip-pipeline,exomePeak2,mixed,
bioskills/merip-preprocessing,bioskills,merip-preprocessing,bio-epitranscriptomics-merip-preprocessing,STAR,cli,
bioskills/metabolic-modeling-pipeline,bioskills,metabolic-modeling-pipeline,bio-workflows-metabolic-modeling-pipeline,cobrapy,mixed,
bioskills/metabolic-reconstruction,bioskills,metabolic-reconstruction,bio-systems-biology-metabolic-reconstruction,CarveMe,cli,
bioskills/metabolite-annotation,bioskills,metabolite-annotation,bio-metabolomics-metabolite-annotation,HMDB,mixed,
bioskills/metabolite-communication,bioskills,metabolite-communication,bio-single-cell-metabolite-communication,MeboCost,python,
bioskills/metabolomics-pipeline,bioskills,metabolomics-pipeline,bio-workflows-metabolomics-pipeline,XCMS,r,
bioskills/metadata-joins,bioskills,metadata-joins,bio-expression-matrix-metadata-joins,pandas,mixed,
bioskills/metagenome-assembly,bioskills,metagenome-assembly,bio-genome-assembly-metagenome-assembly,metaFlye,cli,
bioskills/metagenome-visualization,bioskills,metagenome-visualization,bio-metagenomics-visualization,phyloseq,mixed,
bioskills/metagenomics-pipeline,bioskills,metagenomics-pipeline,bio-workflows-metagenomics-pipeline,Kraken2,cli,
bioskills/metaphlan-profiling,bioskills,metaphlan-profiling,bio-metagenomics-metaphlan,metaphlan,cli,
bioskills/methylation-based-detection,bioskills,methylation-based-detection,bio-methylation-based-detection,MethylDackel,python,
bioskills/methylation-calling,bioskills,methylation-calling,bio-methylation-calling,bismark,cli,
bioskills/methylation-pipeline,bioskills,methylation-pipeline,bio-workflows-methylation-pipeline,Bismark,mixed,
bioskills/methylkit-analysis,bioskills,methylkit-analysis,bio-methylation-methylkit,methylKit,r,
bioskills/mhc-binding-prediction,bioskills,mhc-binding-prediction,bio-immunoinformatics-mhc-binding-prediction,mhcflurry,python,
bioskills/microbiome-pipeline,bioskills,microbiome-pipeline,bio-workflows-microbiome-pipeline,dada2,r,
bioskills/microbiome__differential-abundance,bioskills,microbiome__differential-abundance,bio-microbiome-differential-abundance,ALDEx2,r,
bioskills/mirdeep2-analysis,bioskills,mirdeep2-analysis,bio-small-rna-seq-mirdeep2-analysis,miRDeep2,cli,
bioskills/mirge3-analysis,bioskills,mirge3-analysis,bio-small-rna-seq-mirge3-analysis,miRge3,python,
bioskills/missing-data-sensitivity,bioskills,missing-data-sensitivity,bio-clinical-biostatistics-missing-data,rbmi,mixed,
bioskills/mixcr-analysis,bioskills,mixcr-analysis,bio-tcr-bcr-analysis-mixcr-analysis,MiXCR,cli,
bioskills/mixomics-analysis,bioskills,mixomics-analysis,bio-multi-omics-mixomics-analysis,mixOmics,r,
bioskills/ml-docking-rescoring,bioskills,ml-docking-rescoring,,,,
bioskills/model-curation,bioskills,model-curation,bio-systems-biology-model-curation,memote,python,
bioskills/model-validation,bioskills,model-validation,bio-machine-learning-model-validation,sklearn,python,
bioskills/modern-structure-prediction,bioskills,modern-structure-prediction,bio-structural-biology-modern-structure-prediction,ESMFold,python,
bioskills/modern-tree-inference,bioskills,modern-tree-inference,bio-phylo-modern-tree-inference,IQ-TREE2,cli,
bioskills/modification-visualization,bioskills,modification-visualization,bio-epitranscriptomics-modification-visualization,Guitar,r,
bioskills/mofa-integration,bioskills,mofa-integration,bio-multi-omics-mofa-integration,MOFA2,r,
bioskills/molecular-descriptors,bioskills,molecular-descriptors,bio-molecular-descriptors,RDKit,python,
bioskills/molecular-io,bioskills,molecular-io,bio-molecular-io,RDKit,python,
bioskills/molecular-standardization,bioskills,molecular-standardization,bio-molecular-standardization,RDKit,python,
bioskills/motif-analysis,bioskills,motif-analysis,bio-chipseq-motif-analysis,HOMER,cli,
bioskills/motif-deviation,bioskills,motif-deviation,bio-atac-seq-motif-deviation,chromVAR,r,
bioskills/motif-search,bioskills,motif-search,bio-motif-search,Bio.motifs,python,
bioskills/msa-parsing,bioskills,msa-parsing,bio-alignment-msa-parsing,Bio.AlignIO,python,
bioskills/msa-statistics,bioskills,msa-statistics,bio-alignment-msa-statistics,Bio.Align,python,
bioskills/msdial-preprocessing,bioskills,msdial-preprocessing,bio-metabolomics-msdial-preprocessing,msdial,mixed,
bioskills/msi-detection,bioskills,msi-detection,bio-clinical-databases-msi-detection,MSIsensor-pro,cli,
bioskills/multi-omics-pipeline,bioskills,multi-omics-pipeline,bio-workflows-multi-omics-pipeline,MOFA2,r,
bioskills/multimodal-integration,bioskills,multimodal-integration,bio-single-cell-multimodal-integration,Seurat,mixed,
bioskills/multiome-pipeline,bioskills,multiome-pipeline,bio-workflows-multiome-pipeline,Seurat,r,
bioskills/multiomics-grn,bioskills,multiomics-grn,bio-gene-regulatory-networks-multiomics-grn,SCENIC+,python,
bioskills/multipanel-figures,bioskills,multipanel-figures,bio-data-visualization-multipanel-figures,patchwork,mixed,
bioskills/multiple-alignment,bioskills,multiple-alignment,bio-alignment-multiple,MAFFT,mixed,
bioskills/multiple-testing,bioskills,multiple-testing,bio-experimental-design-multiple-testing,qvalue,r,
bioskills/multiplicity-graphical,bioskills,multiplicity-graphical,bio-clinical-biostatistics-multiplicity-graphical,gMCP,r,
bioskills/myvariant-queries,bioskills,myvariant-queries,bio-clinical-databases-myvariant-queries,myvariant,python,
bioskills/nanopore-methylation,bioskills,nanopore-methylation,bio-long-read-sequencing-nanopore-methylation,modkit,cli,
bioskills/ncbi-datasets-cli,bioskills,ncbi-datasets-cli,bio-ncbi-datasets-cli,NCBI Datasets CLI,cli,
bioskills/ncrna-annotation,bioskills,ncrna-annotation,bio-genome-annotation-ncrna-annotation,Infernal,cli,
bioskills/ncrna-search,bioskills,ncrna-search,bio-rna-structure-ncrna-search,Infernal,cli,
bioskills/neoantigen-pipeline,bioskills,neoantigen-pipeline,bio-workflows-neoantigen-pipeline,pVACtools,mixed,
bioskills/neoantigen-prediction,bioskills,neoantigen-prediction,bio-immunoinformatics-neoantigen-prediction,pVACtools,python,
bioskills/network-visualization,bioskills,network-visualization,bio-data-visualization-network-visualization,NetworkX,python,
bioskills/nextflow-pipelines,bioskills,nextflow-pipelines,bio-workflow-management-nextflow-pipelines,Nextflow,cli,
bioskills/normalization,bioskills,normalization,bio-expression-matrix-normalization,DESeq2,mixed,
bioskills/normalization-qc,bioskills,normalization-qc,bio-metabolomics-normalization-qc,MetaboAnalystR,r,
bioskills/nucleosome-positioning,bioskills,nucleosome-positioning,bio-atac-seq-nucleosome-positioning,NucleoATAC,mixed,
bioskills/off-target-prediction,bioskills,off-target-prediction,bio-genome-engineering-off-target-prediction,Cas-OFFinder,cli,
bioskills/omics-classifiers,bioskills,omics-classifiers,bio-machine-learning-omics-classifiers,sklearn,python,
bioskills/oncoprint-mutation-matrices,bioskills,oncoprint-mutation-matrices,bio-data-visualization-oncoprint-mutation-matrices,ComplexHeatmap,mixed,
bioskills/orf-detection,bioskills,orf-detection,bio-ribo-seq-orf-detection,RiboCode,mixed,
bioskills/ortholog-inference,bioskills,ortholog-inference,bio-comparative-genomics-ortholog-inference,OrthoFinder,mixed,
bioskills/outbreak-pipeline,bioskills,outbreak-pipeline,bio-workflows-outbreak-pipeline,mlst,mixed,
bioskills/outlier-splicing-detection,bioskills,outlier-splicing-detection,bio-outlier-splicing-detection,FRASER,r,
bioskills/paired-end-fastq,bioskills,paired-end-fastq,bio-paired-end-fastq,Bio.SeqIO,python,
bioskills/pairwise-alignment,bioskills,pairwise-alignment,bio-alignment-pairwise,Bio.Align,python,
bioskills/pangenome-analysis,bioskills,pangenome-analysis,bio-comparative-genomics-pangenome-analysis,Panaroo,cli,
bioskills/pathogen-typing,bioskills,pathogen-typing,bio-epidemiological-genomics-pathogen-typing,mlst,cli,
bioskills/pathway-mapping,bioskills,pathway-mapping,bio-metabolomics-pathway-mapping,MetaboAnalystR,r,
bioskills/peak-annotation,bioskills,peak-annotation,bio-chipseq-peak-annotation,ChIPseeker,mixed,
bioskills/peak-calling,bioskills,peak-calling,bio-chipseq-peak-calling,macs3,cli,
bioskills/peptide-identification,bioskills,peptide-identification,bio-proteomics-peptide-identification,pyOpenMS,mixed,
bioskills/periodicity-detection,bioskills,periodicity-detection,bio-temporal-genomics-periodicity-detection,scipy,python,
bioskills/perturb-seq,bioskills,perturb-seq,bio-single-cell-perturb-seq,Pertpy,python,
bioskills/perturb-seq-analysis,bioskills,perturb-seq-analysis,bio-crispr-screens-perturb-seq-analysis,Pertpy,python,
bioskills/perturbation-simulation,bioskills,perturbation-simulation,bio-gene-regulatory-networks-perturbation-simulation,CellOracle,python,
bioskills/pharmacogenomics,bioskills,pharmacogenomics,bio-clinical-databases-pharmacogenomics,PharmCAT,mixed,
bioskills/pharmacophore-modeling,bioskills,pharmacophore-modeling,bio-pharmacophore-modeling,RDKit,python,
bioskills/phenotyping,bioskills,phenotyping,bio-imaging-mass-cytometry-phenotyping,scanpy,python,
bioskills/phylodynamics,bioskills,phylodynamics,bio-epidemiological-genomics-phylodynamics,TreeTime,python,
bioskills/pileup-generation,bioskills,pileup-generation,bio-pileup-generation,samtools,cli,
bioskills/pleiotropy-detection,bioskills,pleiotropy-detection,bio-causal-genomics-pleiotropy-detection,TwoSampleMR,r,
bioskills/plink-basics,bioskills,plink-basics,bio-population-genetics-plink-basics,plink,cli,
bioskills/polygenic-risk,bioskills,polygenic-risk,bio-clinical-databases-polygenic-risk,PGS Catalog Calculator,mixed,
bioskills/population-structure,bioskills,population-structure,bio-population-genetics-population-structure,plink2,cli,
bioskills/pose-validation,bioskills,pose-validation,bio-pose-validation,PoseBusters,python,
bioskills/positive-selection,bioskills,positive-selection,bio-comparative-genomics-positive-selection,PAML,mixed,
bioskills/power-analysis,bioskills,power-analysis,bio-experimental-design-power-analysis,RNASeqPower,r,
bioskills/power-and-sample-size,bioskills,power-and-sample-size,bio-clinical-biostatistics-power-sample-size,statsmodels,mixed,
bioskills/prediction-explanation,bioskills,prediction-explanation,bio-machine-learning-prediction-explanation,shap,python,
bioskills/preprocessing,bioskills,preprocessing,bio-single-cell-preprocessing,Seurat,mixed,
bioskills/prime-editing-design,bioskills,prime-editing-design,bio-genome-engineering-prime-editing-design,PrimeDesign,python,
bioskills/prime-editing-screens,bioskills,prime-editing-screens,bio-crispr-screens-prime-editing-screens,PRIDICT2,mixed,
bioskills/primer-basics,bioskills,primer-basics,bio-primer-design-primer-basics,primer3-py,python,
bioskills/primer-validation,bioskills,primer-validation,bio-primer-design-primer-validation,primer3-py,python,
bioskills/prokaryotic-annotation,bioskills,prokaryotic-annotation,bio-genome-annotation-prokaryotic-annotation,Bakta,cli,
bioskills/protac-degraders,bioskills,protac-degraders,bio-protac-degraders,PRosettaC,python,
bioskills/protein-inference,bioskills,protein-inference,bio-proteomics-protein-inference,pyOpenMS,mixed,
bioskills/proteome-mr-drug-target,bioskills,proteome-mr-drug-target,bio-causal-genomics-proteome-mr-drug-target,TwoSampleMR,mixed,
bioskills/proteomics-pipeline,bioskills,proteomics-pipeline,bio-workflows-proteomics-pipeline,limma,mixed,
bioskills/proteomics-qc,bioskills,proteomics-qc,bio-proteomics-proteomics-qc,pandas,mixed,
bioskills/proteomics__differential-abundance,bioskills,proteomics__differential-abundance,bio-proteomics-differential-abundance,limma,mixed,
bioskills/proximity-operations,bioskills,proximity-operations,bio-genome-intervals-proximity-operations,bedtools,mixed,
bioskills/ptm-analysis,bioskills,ptm-analysis,bio-proteomics-ptm-analysis,pyOpenMS,mixed,
bioskills/qiime2-workflow,bioskills,qiime2-workflow,bio-microbiome-qiime2-workflow,qiime2,cli,
bioskills/qpcr-primers,bioskills,qpcr-primers,bio-primer-design-qpcr-primers,primer3-py,python,
bioskills/qsar-modeling,bioskills,qsar-modeling,bio-qsar-modeling,chemprop,python,
bioskills/quality-filtering,bioskills,quality-filtering,bio-read-qc-quality-filtering,trimmomatic,cli,
bioskills/quality-metrics,bioskills,quality-metrics,bio-imaging-mass-cytometry-quality-metrics,numpy,python,
bioskills/quality-reports,bioskills,quality-reports,bio-read-qc-quality-reports,fastqc,cli,
bioskills/quantification,bioskills,quantification,bio-proteomics-quantification,MSstats,mixed,
bioskills/quarto-reports,bioskills,quarto-reports,bio-reporting-quarto-reports,Quarto,mixed,
bioskills/reaction-enumeration,bioskills,reaction-enumeration,bio-reaction-enumeration,RDKit,python,
bioskills/reactome-pathways,bioskills,reactome-pathways,bio-pathway-reactome,ReactomePA,r,
bioskills/read-sequences,bioskills,read-sequences,bio-read-sequences,Bio.SeqIO,python,
bioskills/recurrent-cnv,bioskills,recurrent-cnv,bio-copy-number-recurrent-cnv,gistic2,mixed,
bioskills/reference-operations,bioskills,reference-operations,bio-reference-operations,samtools,cli,
bioskills/reference-panels,bioskills,reference-panels,bio-phasing-imputation-reference-panels,bcftools,cli,
bioskills/remote-homology,bioskills,remote-homology,bio-remote-homology,HMMER,mixed,
bioskills/repeat-annotation,bioskills,repeat-annotation,bio-genome-annotation-repeat-annotation,RepeatMasker,cli,
bioskills/repertoire-visualization,bioskills,repertoire-visualization,bio-tcr-bcr-analysis-repertoire-visualization,VDJtools,mixed,
bioskills/restriction-analysis__fragment-analysis,bioskills,restriction-analysis__fragment-analysis,bio-restriction-fragment-analysis,Bio.Restriction,python,
bioskills/restriction-mapping,bioskills,restriction-mapping,bio-restriction-mapping,Bio.Restriction,python,
bioskills/restriction-sites,bioskills,restriction-sites,bio-restriction-sites,Bio.Restriction,python,
bioskills/retrosynthesis,bioskills,retrosynthesis,bio-retrosynthesis,AiZynthFinder,python,
bioskills/reverse-complement,bioskills,reverse-complement,bio-reverse-complement,Bio.Seq,python,
bioskills/riboseq-pipeline,bioskills,riboseq-pipeline,bio-workflows-riboseq-pipeline,Plastid,mixed,
bioskills/riboseq-preprocessing,bioskills,riboseq-preprocessing,bio-ribo-seq-riboseq-preprocessing,bowtie2,cli,
bioskills/ribosome-periodicity,bioskills,ribosome-periodicity,bio-ribo-seq-ribosome-periodicity,Plastid,python,
bioskills/ribosome-stalling,bioskills,ribosome-stalling,bio-ribo-seq-ribosome-stalling,Plastid,python,
bioskills/rmarkdown-reports,bioskills,rmarkdown-reports,bio-reporting-rmarkdown-reports,rmarkdown,r,
bioskills/rnaseq-qc,bioskills,rnaseq-qc,bio-rnaseq-qc,RSeQC,mixed,
bioskills/rnaseq-to-de,bioskills,rnaseq-to-de,bio-workflows-rnaseq-to-de,DESeq2,mixed,
bioskills/sam-bam-basics,bioskills,sam-bam-basics,bio-sam-bam-basics,samtools,cli,
bioskills/sample-size,bioskills,sample-size,bio-experimental-design-sample-size,ssizeRNA,r,
bioskills/sashimi-plots,bioskills,sashimi-plots,bio-sashimi-plots,ggsashimi,python,
bioskills/scaffold-analysis,bioskills,scaffold-analysis,bio-scaffold-analysis,RDKit,python,
bioskills/scaffolding,bioskills,scaffolding,bio-genome-assembly-scaffolding,YaHS,cli,
bioskills/scatac-analysis,bioskills,scatac-analysis,bio-single-cell-scatac-analysis,Signac,r,
bioskills/scenic-regulons,bioskills,scenic-regulons,bio-gene-regulatory-networks-scenic-regulons,pySCENIC,python,
bioskills/scikit-allel-analysis,bioskills,scikit-allel-analysis,bio-population-genetics-scikit-allel-analysis,scikit-allel,python,
bioskills/scirpy-analysis,bioskills,scirpy-analysis,bio-tcr-bcr-analysis-scirpy-analysis,scirpy,python,
bioskills/screen-qc,bioskills,screen-qc,bio-crispr-screens-screen-qc,MAGeCK-VISPR,python,
bioskills/scrnaseq-pipeline,bioskills,scrnaseq-pipeline,bio-workflows-scrnaseq-pipeline,Seurat,mixed,
bioskills/secondary-structure-prediction,bioskills,secondary-structure-prediction,bio-rna-structure-secondary-structure-prediction,ViennaRNA,cli,
bioskills/selection-statistics,bioskills,selection-statistics,bio-population-genetics-selection-statistics,scikit-allel,mixed,
